time;PV
01.01.2019 00:00;0
01.01.2019 01:00;0
01.01.2019 02:00;0
01.01.2019 03:00;0
01.01.2019 04:00;0
01.01.2019 05:00;0
01.01.2019 06:00;0
01.01.2019 07:00;0,013
01.01.2019 08:00;0,056
01.01.2019 09:00;0,115
01.01.2019 10:00;0,165
01.01.2019 11:00;0,216
01.01.2019 12:00;0,284
01.01.2019 13:00;0,25
01.01.2019 14:00;0,062
01.01.2019 15:00;0
01.01.2019 16:00;0
01.01.2019 17:00;0
01.01.2019 18:00;0
01.01.2019 19:00;0
01.01.2019 20:00;0
01.01.2019 21:00;0
01.01.2019 22:00;0
01.01.2019 23:00;0
02.01.2019 00:00;0
02.01.2019 01:00;0
02.01.2019 02:00;0
02.01.2019 03:00;0
02.01.2019 04:00;0
02.01.2019 05:00;0
02.01.2019 06:00;0
02.01.2019 07:00;0,001
02.01.2019 08:00;0,015
02.01.2019 09:00;0,05
02.01.2019 10:00;0,088
02.01.2019 11:00;0,097
02.01.2019 12:00;0,077
02.01.2019 13:00;0,046
02.01.2019 14:00;0,011
02.01.2019 15:00;0
02.01.2019 16:00;0
02.01.2019 17:00;0
02.01.2019 18:00;0
02.01.2019 19:00;0
02.01.2019 20:00;0
02.01.2019 21:00;0
02.01.2019 22:00;0
02.01.2019 23:00;0
03.01.2019 00:00;0
03.01.2019 01:00;0
03.01.2019 02:00;0
03.01.2019 03:00;0
03.01.2019 04:00;0
03.01.2019 05:00;0
03.01.2019 06:00;0
03.01.2019 07:00;0,019
03.01.2019 08:00;0,109
03.01.2019 09:00;0,328
03.01.2019 10:00;0,444
03.01.2019 11:00;0,341
03.01.2019 12:00;0,308
03.01.2019 13:00;0,181
03.01.2019 14:00;0,065
03.01.2019 15:00;0
03.01.2019 16:00;0
03.01.2019 17:00;0
03.01.2019 18:00;0
03.01.2019 19:00;0
03.01.2019 20:00;0
03.01.2019 21:00;0
03.01.2019 22:00;0
03.01.2019 23:00;0
04.01.2019 00:00;0
04.01.2019 01:00;0
04.01.2019 02:00;0
04.01.2019 03:00;0
04.01.2019 04:00;0
04.01.2019 05:00;0
04.01.2019 06:00;0
04.01.2019 07:00;0,002
04.01.2019 08:00;0,019
04.01.2019 09:00;0,038
04.01.2019 10:00;0,043
04.01.2019 11:00;0,043
04.01.2019 12:00;0,035
04.01.2019 13:00;0,023
04.01.2019 14:00;0,006
04.01.2019 15:00;0
04.01.2019 16:00;0
04.01.2019 17:00;0
04.01.2019 18:00;0
04.01.2019 19:00;0
04.01.2019 20:00;0
